customer_id,age,income,employment_length,credit_score,loan_amount,default,Checking,Savings,Credit Card,Auto Loan,Mortgage,Personal Loan,Investment
1,59,301438.58340882376,18,540,22488.427450846906,0,1,0,0,1,0,1,0
2,72,33126.888693629815,2,691,9625.715943438061,0,1,1,1,1,0,0,0
3,49,20000.0,23,799,3209.857693439588,0,1,0,0,0,0,0,0
4,35,181012.8944148978,4,683,19808.634711582632,0,1,0,1,0,0,0,0
5,63,148640.18777940614,2,672,30617.400575568507,0,1,1,1,0,0,0,0
6,28,41540.58337972495,26,650,7103.539610464034,0,1,1,0,1,0,0,0
7,41,54699.320963636346,15,524,17875.793445527284,0,1,1,0,0,0,1,0
8,59,22472.59756235215,14,758,9287.518724166424,0,1,1,1,0,0,0,0
9,39,64290.15692899746,34,601,11114.074985978968,0,1,1,1,1,0,1,0
10,43,152166.5574031372,11,690,1110.0695416040337,0,1,0,1,1,0,0,0
11,31,38789.93662337352,25,524,10702.349719383727,0,1,1,0,0,0,1,0
12,31,120774.63690336194,33,555,35219.99719500385,0,1,1,0,0,0,0,0
13,44,86766.77804024049,22,764,7105.308391418072,0,1,0,0,0,1,0,1
14,73,95059.04584354747,30,622,14080.221599870045,0,1,1,1,0,0,0,0
15,56,40641.811498411844,19,766,6273.246566436359,0,1,1,1,1,0,0,0
16,60,45084.80963887191,11,643,19157.34891397992,0,1,1,1,0,0,1,0
17,44,20000.0,22,502,10758.7730936832,0,1,1,0,0,0,0,0
18,23,38050.308461264576,3,721,5222.640831245091,0,1,1,1,0,0,0,0
19,42,151871.24468616457,22,602,50642.7554402579,0,1,0,0,0,0,0,0
20,73,28467.95206844086,0,705,33824.20716797521,0,1,1,1,0,0,0,0
21,22,32072.64217100383,24,652,7296.085395201372,0,1,0,0,0,0,0,0
22,44,99922.66931514484,1,526,21977.80390021178,0,1,0,0,0,0,0,0
23,64,82637.15143184658,29,663,22866.12879810316,0,1,0,0,0,0,0,0
24,50,103973.42325457142,2,825,25394.838787358938,0,1,1,1,0,1,0,1
25,58,23609.951312644273,20,689,2454.6613899246554,0,1,1,0,0,0,0,0
26,22,465676.45036524197,24,645,36556.21680113831,0,1,0,1,0,0,1,0
27,41,22638.274181205034,19,736,7557.54013361067,1,1,0,1,0,0,0,0
28,53,67737.67822524351,21,666,9341.032457097228,0,1,1,1,0,0,0,0
29,32,52737.159679288445,20,666,100000.0,0,1,1,1,0,0,0,0
30,42,23171.69538037489,32,562,18067.560662887176,0,1,1,0,0,0,1,0
31,64,44526.17340912491,37,668,9078.620425667748,0,1,1,1,1,0,0,0
32,45,61001.03319949797,14,732,1472.4833780990896,0,1,1,0,0,0,0,0
33,69,35597.17039907881,14,583,53624.65024366313,0,1,1,0,1,0,0,0
34,47,126725.53654050754,24,763,3480.0095923648355,0,1,0,1,0,0,0,0
35,62,52611.99442530404,20,642,4897.896452419655,0,1,1,1,0,0,1,0
36,48,20475.41676189393,23,578,9591.645142896605,0,1,1,0,1,0,0,0
37,36,20000.0,4,729,55072.83119084253,0,1,1,0,0,0,0,0
38,35,97239.47918970216,5,627,28947.524986894467,0,1,0,0,0,0,0,0
39,67,20000.0,22,710,11409.053548990169,0,1,0,1,0,0,0,0
40,71,77121.76831669413,3,626,18183.9035906231,0,1,1,0,1,0,1,0
41,64,85453.2010160857,26,645,7329.146194509192,0,1,0,1,0,0,1,0
42,72,27003.336430733543,17,689,15362.02278196619,0,1,1,0,0,0,0,0
